job_title,company_name,location,salary,skills,description
Data Analyst,Tech Mahindra,Hyderabad,4 LPA - 6 LPA,"azure, devops","We are hiring a Data Analyst for our Tech Mahindra team located in Hyderabad. Candidate must have experience in: azure, devops."
Data Analyst,Wipro,Pune,3 LPA - 5 LPA,"html, css, javascript","We are hiring a Data Analyst for our Wipro team located in Pune. Candidate must have experience in: html, css, javascript."
Full Stack Developer,TCS,Remote,10 LPA - 20 LPA,"data analysis, excel, tableau","We are hiring a Full Stack Developer for our TCS team located in Remote. Candidate must have experience in: data analysis, excel, tableau."
DevOps Engineer,Microsoft,Mumbai,3 LPA - 5 LPA,"azure, devops","We are hiring a DevOps Engineer for our Microsoft team located in Mumbai. Candidate must have experience in: azure, devops."
Python Developer,Capgemini,Hyderabad,4 LPA - 6 LPA,"html, css, javascript","We are hiring a Python Developer for our Capgemini team located in Hyderabad. Candidate must have experience in: html, css, javascript."
Frontend Developer,Capgemini,Pune,10 LPA - 20 LPA,"devops, ci/cd, linux","We are hiring a Frontend Developer for our Capgemini team located in Pune. Candidate must have experience in: devops, ci/cd, linux."
Data Analyst,Accenture,Hyderabad,15 LPA - 30 LPA,"python, sql, pandas","We are hiring a Data Analyst for our Accenture team located in Hyderabad. Candidate must have experience in: python, sql, pandas."
Software Engineer,Capgemini,Bangalore,6 LPA - 10 LPA,"java, spring boot","We are hiring a Software Engineer for our Capgemini team located in Bangalore. Candidate must have experience in: java, spring boot."
Data Analyst,Wipro,Mumbai,4 LPA - 6 LPA,"java, spring boot","We are hiring a Data Analyst for our Wipro team located in Mumbai. Candidate must have experience in: java, spring boot."
Data Analyst,Capgemini,Pune,10 LPA - 20 LPA,"data analysis, excel, tableau","We are hiring a Data Analyst for our Capgemini team located in Pune. Candidate must have experience in: data analysis, excel, tableau."
DevOps Engineer,Tech Mahindra,Bangalore,4 LPA - 6 LPA,"machine learning, tensorflow, numpy","We are hiring a DevOps Engineer for our Tech Mahindra team located in Bangalore. Candidate must have experience in: machine learning, tensorflow, numpy."
Data Analyst,Wipro,Mumbai,8 LPA - 14 LPA,"azure, devops","We are hiring a Data Analyst for our Wipro team located in Mumbai. Candidate must have experience in: azure, devops."
DevOps Engineer,Cognizant,Chennai,8 LPA - 14 LPA,"python, sql, pandas","We are hiring a DevOps Engineer for our Cognizant team located in Chennai. Candidate must have experience in: python, sql, pandas."
Backend Developer,Infosys,Bangalore,4 LPA - 6 LPA,"machine learning, tensorflow, numpy","We are hiring a Backend Developer for our Infosys team located in Bangalore. Candidate must have experience in: machine learning, tensorflow, numpy."
Software Engineer,Amazon,Delhi,15 LPA - 30 LPA,"html, css, javascript","We are hiring a Software Engineer for our Amazon team located in Delhi. Candidate must have experience in: html, css, javascript."
Backend Developer,Tech Mahindra,Pune,6 LPA - 10 LPA,"python, sql, pandas","We are hiring a Backend Developer for our Tech Mahindra team located in Pune. Candidate must have experience in: python, sql, pandas."
Python Developer,Cognizant,Bangalore,15 LPA - 30 LPA,"aws, docker, kubernetes","We are hiring a Python Developer for our Cognizant team located in Bangalore. Candidate must have experience in: aws, docker, kubernetes."
DevOps Engineer,Accenture,Bangalore,8 LPA - 14 LPA,"javascript, react, css","We are hiring a DevOps Engineer for our Accenture team located in Bangalore. Candidate must have experience in: javascript, react, css."
Python Developer,Cognizant,Pune,15 LPA - 30 LPA,"data analysis, excel, tableau","We are hiring a Python Developer for our Cognizant team located in Pune. Candidate must have experience in: data analysis, excel, tableau."
Software Engineer,Google,Remote,15 LPA - 30 LPA,"java, spring boot","We are hiring a Software Engineer for our Google team located in Remote. Candidate must have experience in: java, spring boot."
Python Developer,Cognizant,Mumbai,10 LPA - 20 LPA,"javascript, react, css","We are hiring a Python Developer for our Cognizant team located in Mumbai. Candidate must have experience in: javascript, react, css."
Frontend Developer,Google,Delhi,4 LPA - 6 LPA,"python, sql, pandas","We are hiring a Frontend Developer for our Google team located in Delhi. Candidate must have experience in: python, sql, pandas."
Frontend Developer,Amazon,Mumbai,15 LPA - 30 LPA,"python, sql, pandas","We are hiring a Frontend Developer for our Amazon team located in Mumbai. Candidate must have experience in: python, sql, pandas."
Full Stack Developer,Tech Mahindra,Remote,10 LPA - 20 LPA,"azure, devops","We are hiring a Full Stack Developer for our Tech Mahindra team located in Remote. Candidate must have experience in: azure, devops."
Python Developer,Amazon,Hyderabad,6 LPA - 10 LPA,"html, css, javascript","We are hiring a Python Developer for our Amazon team located in Hyderabad. Candidate must have experience in: html, css, javascript."
ML Engineer,Accenture,Pune,6 LPA - 10 LPA,"data analysis, excel, tableau","We are hiring a ML Engineer for our Accenture team located in Pune. Candidate must have experience in: data analysis, excel, tableau."
Backend Developer,Cognizant,Remote,3 LPA - 5 LPA,"javascript, react, css","We are hiring a Backend Developer for our Cognizant team located in Remote. Candidate must have experience in: javascript, react, css."
ML Engineer,Infosys,Bangalore,15 LPA - 30 LPA,"azure, devops","We are hiring a ML Engineer for our Infosys team located in Bangalore. Candidate must have experience in: azure, devops."
Python Developer,Tech Mahindra,Chennai,15 LPA - 30 LPA,"python, sql, pandas","We are hiring a Python Developer for our Tech Mahindra team located in Chennai. Candidate must have experience in: python, sql, pandas."
Full Stack Developer,Microsoft,Pune,4 LPA - 6 LPA,"html, css, javascript","We are hiring a Full Stack Developer for our Microsoft team located in Pune. Candidate must have experience in: html, css, javascript."
Cloud Architect,Capgemini,Bangalore,4 LPA - 6 LPA,"data analysis, excel, tableau","We are hiring a Cloud Architect for our Capgemini team located in Bangalore. Candidate must have experience in: data analysis, excel, tableau."
Backend Developer,Wipro,Pune,6 LPA - 10 LPA,"data analysis, excel, tableau","We are hiring a Backend Developer for our Wipro team located in Pune. Candidate must have experience in: data analysis, excel, tableau."
Backend Developer,Accenture,Hyderabad,3 LPA - 5 LPA,"html, css, javascript","We are hiring a Backend Developer for our Accenture team located in Hyderabad. Candidate must have experience in: html, css, javascript."
DevOps Engineer,Cognizant,Hyderabad,10 LPA - 20 LPA,"java, spring boot","We are hiring a DevOps Engineer for our Cognizant team located in Hyderabad. Candidate must have experience in: java, spring boot."
Full Stack Developer,Capgemini,Mumbai,6 LPA - 10 LPA,"aws, docker, kubernetes","We are hiring a Full Stack Developer for our Capgemini team located in Mumbai. Candidate must have experience in: aws, docker, kubernetes."
Cloud Architect,Accenture,Delhi,3 LPA - 5 LPA,"deep learning, pytorch","We are hiring a Cloud Architect for our Accenture team located in Delhi. Candidate must have experience in: deep learning, pytorch."
Frontend Developer,Accenture,Mumbai,4 LPA - 6 LPA,"html, css, javascript","We are hiring a Frontend Developer for our Accenture team located in Mumbai. Candidate must have experience in: html, css, javascript."
Cloud Architect,Microsoft,Pune,15 LPA - 30 LPA,"java, spring boot","We are hiring a Cloud Architect for our Microsoft team located in Pune. Candidate must have experience in: java, spring boot."
Python Developer,Amazon,Chennai,8 LPA - 14 LPA,"python, sql, pandas","We are hiring a Python Developer for our Amazon team located in Chennai. Candidate must have experience in: python, sql, pandas."
Python Developer,Microsoft,Chennai,4 LPA - 6 LPA,"azure, devops","We are hiring a Python Developer for our Microsoft team located in Chennai. Candidate must have experience in: azure, devops."
Python Developer,TCS,Delhi,8 LPA - 14 LPA,"aws, docker, kubernetes","We are hiring a Python Developer for our TCS team located in Delhi. Candidate must have experience in: aws, docker, kubernetes."
DevOps Engineer,Wipro,Mumbai,3 LPA - 5 LPA,"data analysis, excel, tableau","We are hiring a DevOps Engineer for our Wipro team located in Mumbai. Candidate must have experience in: data analysis, excel, tableau."
AI Engineer,Microsoft,Mumbai,6 LPA - 10 LPA,"deep learning, pytorch","We are hiring a AI Engineer for our Microsoft team located in Mumbai. Candidate must have experience in: deep learning, pytorch."
DevOps Engineer,Infosys,Pune,6 LPA - 10 LPA,"aws, docker, kubernetes","We are hiring a DevOps Engineer for our Infosys team located in Pune. Candidate must have experience in: aws, docker, kubernetes."
DevOps Engineer,Accenture,Delhi,10 LPA - 20 LPA,"python, sql, pandas","We are hiring a DevOps Engineer for our Accenture team located in Delhi. Candidate must have experience in: python, sql, pandas."
Python Developer,Infosys,Delhi,8 LPA - 14 LPA,"javascript, react, css","We are hiring a Python Developer for our Infosys team located in Delhi. Candidate must have experience in: javascript, react, css."
Data Analyst,Microsoft,Delhi,3 LPA - 5 LPA,"javascript, react, css","We are hiring a Data Analyst for our Microsoft team located in Delhi. Candidate must have experience in: javascript, react, css."
Data Analyst,TCS,Bangalore,8 LPA - 14 LPA,"data analysis, excel, tableau","We are hiring a Data Analyst for our TCS team located in Bangalore. Candidate must have experience in: data analysis, excel, tableau."
DevOps Engineer,Microsoft,Chennai,10 LPA - 20 LPA,"data analysis, excel, tableau","We are hiring a DevOps Engineer for our Microsoft team located in Chennai. Candidate must have experience in: data analysis, excel, tableau."
DevOps Engineer,Tech Mahindra,Remote,6 LPA - 10 LPA,"javascript, react, css","We are hiring a DevOps Engineer for our Tech Mahindra team located in Remote. Candidate must have experience in: javascript, react, css."
Data Analyst,Accenture,Bangalore,8 LPA - 14 LPA,"html, css, javascript","We are hiring a Data Analyst for our Accenture team located in Bangalore. Candidate must have experience in: html, css, javascript."
Software Engineer,Infosys,Bangalore,15 LPA - 30 LPA,"machine learning, tensorflow, numpy","We are hiring a Software Engineer for our Infosys team located in Bangalore. Candidate must have experience in: machine learning, tensorflow, numpy."
ML Engineer,Google,Mumbai,15 LPA - 30 LPA,"devops, ci/cd, linux","We are hiring a ML Engineer for our Google team located in Mumbai. Candidate must have experience in: devops, ci/cd, linux."
Backend Developer,Infosys,Remote,6 LPA - 10 LPA,"java, spring boot","We are hiring a Backend Developer for our Infosys team located in Remote. Candidate must have experience in: java, spring boot."
Software Engineer,Microsoft,Bangalore,8 LPA - 14 LPA,"aws, docker, kubernetes","We are hiring a Software Engineer for our Microsoft team located in Bangalore. Candidate must have experience in: aws, docker, kubernetes."
Full Stack Developer,Wipro,Chennai,6 LPA - 10 LPA,"html, css, javascript","We are hiring a Full Stack Developer for our Wipro team located in Chennai. Candidate must have experience in: html, css, javascript."
Python Developer,TCS,Hyderabad,8 LPA - 14 LPA,"azure, devops","We are hiring a Python Developer for our TCS team located in Hyderabad. Candidate must have experience in: azure, devops."
Data Analyst,Capgemini,Bangalore,6 LPA - 10 LPA,"javascript, react, css","We are hiring a Data Analyst for our Capgemini team located in Bangalore. Candidate must have experience in: javascript, react, css."
Backend Developer,Amazon,Remote,4 LPA - 6 LPA,"java, spring boot","We are hiring a Backend Developer for our Amazon team located in Remote. Candidate must have experience in: java, spring boot."
Backend Developer,Tech Mahindra,Hyderabad,6 LPA - 10 LPA,"aws, docker, kubernetes","We are hiring a Backend Developer for our Tech Mahindra team located in Hyderabad. Candidate must have experience in: aws, docker, kubernetes."
ML Engineer,Wipro,Remote,6 LPA - 10 LPA,"deep learning, pytorch","We are hiring a ML Engineer for our Wipro team located in Remote. Candidate must have experience in: deep learning, pytorch."
Python Developer,Microsoft,Mumbai,8 LPA - 14 LPA,"aws, docker, kubernetes","We are hiring a Python Developer for our Microsoft team located in Mumbai. Candidate must have experience in: aws, docker, kubernetes."
Full Stack Developer,TCS,Remote,10 LPA - 20 LPA,"javascript, react, css","We are hiring a Full Stack Developer for our TCS team located in Remote. Candidate must have experience in: javascript, react, css."
Backend Developer,Amazon,Bangalore,4 LPA - 6 LPA,"devops, ci/cd, linux","We are hiring a Backend Developer for our Amazon team located in Bangalore. Candidate must have experience in: devops, ci/cd, linux."
AI Engineer,Amazon,Bangalore,6 LPA - 10 LPA,"javascript, react, css","We are hiring a AI Engineer for our Amazon team located in Bangalore. Candidate must have experience in: javascript, react, css."
Python Developer,Capgemini,Pune,8 LPA - 14 LPA,"deep learning, pytorch","We are hiring a Python Developer for our Capgemini team located in Pune. Candidate must have experience in: deep learning, pytorch."
Software Engineer,Tech Mahindra,Hyderabad,3 LPA - 5 LPA,"aws, docker, kubernetes","We are hiring a Software Engineer for our Tech Mahindra team located in Hyderabad. Candidate must have experience in: aws, docker, kubernetes."
Cloud Architect,Accenture,Chennai,3 LPA - 5 LPA,"html, css, javascript","We are hiring a Cloud Architect for our Accenture team located in Chennai. Candidate must have experience in: html, css, javascript."
Software Engineer,Google,Delhi,4 LPA - 6 LPA,"machine learning, tensorflow, numpy","We are hiring a Software Engineer for our Google team located in Delhi. Candidate must have experience in: machine learning, tensorflow, numpy."
AI Engineer,Accenture,Bangalore,3 LPA - 5 LPA,"devops, ci/cd, linux","We are hiring a AI Engineer for our Accenture team located in Bangalore. Candidate must have experience in: devops, ci/cd, linux."
Software Engineer,Cognizant,Delhi,10 LPA - 20 LPA,"python, sql, pandas","We are hiring a Software Engineer for our Cognizant team located in Delhi. Candidate must have experience in: python, sql, pandas."
Full Stack Developer,Infosys,Pune,15 LPA - 30 LPA,"java, spring boot","We are hiring a Full Stack Developer for our Infosys team located in Pune. Candidate must have experience in: java, spring boot."
AI Engineer,TCS,Bangalore,8 LPA - 14 LPA,"java, spring boot","We are hiring a AI Engineer for our TCS team located in Bangalore. Candidate must have experience in: java, spring boot."
Data Analyst,Cognizant,Remote,3 LPA - 5 LPA,"deep learning, pytorch","We are hiring a Data Analyst for our Cognizant team located in Remote. Candidate must have experience in: deep learning, pytorch."
AI Engineer,TCS,Delhi,15 LPA - 30 LPA,"aws, docker, kubernetes","We are hiring a AI Engineer for our TCS team located in Delhi. Candidate must have experience in: aws, docker, kubernetes."
AI Engineer,Google,Chennai,3 LPA - 5 LPA,"python, sql, pandas","We are hiring a AI Engineer for our Google team located in Chennai. Candidate must have experience in: python, sql, pandas."
ML Engineer,Microsoft,Hyderabad,10 LPA - 20 LPA,"javascript, react, css","We are hiring a ML Engineer for our Microsoft team located in Hyderabad. Candidate must have experience in: javascript, react, css."
ML Engineer,TCS,Delhi,3 LPA - 5 LPA,"deep learning, pytorch","We are hiring a ML Engineer for our TCS team located in Delhi. Candidate must have experience in: deep learning, pytorch."
Full Stack Developer,Cognizant,Remote,10 LPA - 20 LPA,"html, css, javascript","We are hiring a Full Stack Developer for our Cognizant team located in Remote. Candidate must have experience in: html, css, javascript."
Frontend Developer,Capgemini,Chennai,3 LPA - 5 LPA,"deep learning, pytorch","We are hiring a Frontend Developer for our Capgemini team located in Chennai. Candidate must have experience in: deep learning, pytorch."
DevOps Engineer,TCS,Mumbai,6 LPA - 10 LPA,"deep learning, pytorch","We are hiring a DevOps Engineer for our TCS team located in Mumbai. Candidate must have experience in: deep learning, pytorch."
Full Stack Developer,Cognizant,Hyderabad,4 LPA - 6 LPA,"machine learning, tensorflow, numpy","We are hiring a Full Stack Developer for our Cognizant team located in Hyderabad. Candidate must have experience in: machine learning, tensorflow, numpy."
Backend Developer,Capgemini,Delhi,10 LPA - 20 LPA,"devops, ci/cd, linux","We are hiring a Backend Developer for our Capgemini team located in Delhi. Candidate must have experience in: devops, ci/cd, linux."
Data Analyst,Capgemini,Chennai,3 LPA - 5 LPA,"azure, devops","We are hiring a Data Analyst for our Capgemini team located in Chennai. Candidate must have experience in: azure, devops."
Python Developer,Accenture,Pune,6 LPA - 10 LPA,"machine learning, tensorflow, numpy","We are hiring a Python Developer for our Accenture team located in Pune. Candidate must have experience in: machine learning, tensorflow, numpy."
Data Analyst,Infosys,Chennai,8 LPA - 14 LPA,"java, spring boot","We are hiring a Data Analyst for our Infosys team located in Chennai. Candidate must have experience in: java, spring boot."
DevOps Engineer,Amazon,Bangalore,15 LPA - 30 LPA,"devops, ci/cd, linux","We are hiring a DevOps Engineer for our Amazon team located in Bangalore. Candidate must have experience in: devops, ci/cd, linux."
Cloud Architect,Infosys,Delhi,4 LPA - 6 LPA,"python, sql, pandas","We are hiring a Cloud Architect for our Infosys team located in Delhi. Candidate must have experience in: python, sql, pandas."
Cloud Architect,Google,Bangalore,8 LPA - 14 LPA,"java, spring boot","We are hiring a Cloud Architect for our Google team located in Bangalore. Candidate must have experience in: java, spring boot."
Frontend Developer,Accenture,Chennai,4 LPA - 6 LPA,"javascript, react, css","We are hiring a Frontend Developer for our Accenture team located in Chennai. Candidate must have experience in: javascript, react, css."
Backend Developer,Accenture,Remote,4 LPA - 6 LPA,"deep learning, pytorch","We are hiring a Backend Developer for our Accenture team located in Remote. Candidate must have experience in: deep learning, pytorch."
DevOps Engineer,Microsoft,Bangalore,4 LPA - 6 LPA,"deep learning, pytorch","We are hiring a DevOps Engineer for our Microsoft team located in Bangalore. Candidate must have experience in: deep learning, pytorch."
Software Engineer,Google,Remote,4 LPA - 6 LPA,"data analysis, excel, tableau","We are hiring a Software Engineer for our Google team located in Remote. Candidate must have experience in: data analysis, excel, tableau."
DevOps Engineer,Wipro,Pune,15 LPA - 30 LPA,"python, sql, pandas","We are hiring a DevOps Engineer for our Wipro team located in Pune. Candidate must have experience in: python, sql, pandas."
DevOps Engineer,TCS,Chennai,15 LPA - 30 LPA,"azure, devops","We are hiring a DevOps Engineer for our TCS team located in Chennai. Candidate must have experience in: azure, devops."
AI Engineer,Tech Mahindra,Chennai,6 LPA - 10 LPA,"python, sql, pandas","We are hiring a AI Engineer for our Tech Mahindra team located in Chennai. Candidate must have experience in: python, sql, pandas."
Python Developer,Wipro,Pune,3 LPA - 5 LPA,"javascript, react, css","We are hiring a Python Developer for our Wipro team located in Pune. Candidate must have experience in: javascript, react, css."
Full Stack Developer,Amazon,Remote,8 LPA - 14 LPA,"devops, ci/cd, linux","We are hiring a Full Stack Developer for our Amazon team located in Remote. Candidate must have experience in: devops, ci/cd, linux."
ML Engineer,Wipro,Bangalore,3 LPA - 5 LPA,"javascript, react, css","We are hiring a ML Engineer for our Wipro team located in Bangalore. Candidate must have experience in: javascript, react, css."
Backend Developer,TCS,Remote,10 LPA - 20 LPA,"java, spring boot","We are hiring a Backend Developer for our TCS team located in Remote. Candidate must have experience in: java, spring boot."
Software Engineer,TCS,Bangalore,10 LPA - 20 LPA,"machine learning, tensorflow, numpy","We are hiring a Software Engineer for our TCS team located in Bangalore. Candidate must have experience in: machine learning, tensorflow, numpy."
Frontend Developer,Wipro,Bangalore,3 LPA - 5 LPA,"python, sql, pandas","We are hiring a Frontend Developer for our Wipro team located in Bangalore. Candidate must have experience in: python, sql, pandas."
Backend Developer,Accenture,Delhi,8 LPA - 14 LPA,"python, sql, pandas","We are hiring a Backend Developer for our Accenture team located in Delhi. Candidate must have experience in: python, sql, pandas."
Data Analyst,Microsoft,Bangalore,8 LPA - 14 LPA,"data analysis, excel, tableau","We are hiring a Data Analyst for our Microsoft team located in Bangalore. Candidate must have experience in: data analysis, excel, tableau."
ML Engineer,Cognizant,Mumbai,6 LPA - 10 LPA,"devops, ci/cd, linux","We are hiring a ML Engineer for our Cognizant team located in Mumbai. Candidate must have experience in: devops, ci/cd, linux."
Frontend Developer,Microsoft,Mumbai,8 LPA - 14 LPA,"azure, devops","We are hiring a Frontend Developer for our Microsoft team located in Mumbai. Candidate must have experience in: azure, devops."
Cloud Architect,Accenture,Bangalore,15 LPA - 30 LPA,"html, css, javascript","We are hiring a Cloud Architect for our Accenture team located in Bangalore. Candidate must have experience in: html, css, javascript."
Data Analyst,Google,Remote,4 LPA - 6 LPA,"devops, ci/cd, linux","We are hiring a Data Analyst for our Google team located in Remote. Candidate must have experience in: devops, ci/cd, linux."
AI Engineer,Google,Delhi,15 LPA - 30 LPA,"html, css, javascript","We are hiring a AI Engineer for our Google team located in Delhi. Candidate must have experience in: html, css, javascript."
Frontend Developer,Amazon,Delhi,4 LPA - 6 LPA,"html, css, javascript","We are hiring a Frontend Developer for our Amazon team located in Delhi. Candidate must have experience in: html, css, javascript."
Full Stack Developer,TCS,Delhi,10 LPA - 20 LPA,"data analysis, excel, tableau","We are hiring a Full Stack Developer for our TCS team located in Delhi. Candidate must have experience in: data analysis, excel, tableau."
Frontend Developer,Amazon,Delhi,6 LPA - 10 LPA,"java, spring boot","We are hiring a Frontend Developer for our Amazon team located in Delhi. Candidate must have experience in: java, spring boot."
Full Stack Developer,Infosys,Remote,3 LPA - 5 LPA,"html, css, javascript","We are hiring a Full Stack Developer for our Infosys team located in Remote. Candidate must have experience in: html, css, javascript."
Python Developer,Cognizant,Mumbai,3 LPA - 5 LPA,"aws, docker, kubernetes","We are hiring a Python Developer for our Cognizant team located in Mumbai. Candidate must have experience in: aws, docker, kubernetes."
Backend Developer,Accenture,Remote,4 LPA - 6 LPA,"data analysis, excel, tableau","We are hiring a Backend Developer for our Accenture team located in Remote. Candidate must have experience in: data analysis, excel, tableau."
Frontend Developer,Capgemini,Hyderabad,4 LPA - 6 LPA,"java, spring boot","We are hiring a Frontend Developer for our Capgemini team located in Hyderabad. Candidate must have experience in: java, spring boot."
Backend Developer,Google,Mumbai,4 LPA - 6 LPA,"html, css, javascript","We are hiring a Backend Developer for our Google team located in Mumbai. Candidate must have experience in: html, css, javascript."
Cloud Architect,Capgemini,Delhi,8 LPA - 14 LPA,"machine learning, tensorflow, numpy","We are hiring a Cloud Architect for our Capgemini team located in Delhi. Candidate must have experience in: machine learning, tensorflow, numpy."
Cloud Architect,Wipro,Delhi,8 LPA - 14 LPA,"machine learning, tensorflow, numpy","We are hiring a Cloud Architect for our Wipro team located in Delhi. Candidate must have experience in: machine learning, tensorflow, numpy."
Cloud Architect,Wipro,Chennai,10 LPA - 20 LPA,"machine learning, tensorflow, numpy","We are hiring a Cloud Architect for our Wipro team located in Chennai. Candidate must have experience in: machine learning, tensorflow, numpy."
ML Engineer,Microsoft,Delhi,10 LPA - 20 LPA,"deep learning, pytorch","We are hiring a ML Engineer for our Microsoft team located in Delhi. Candidate must have experience in: deep learning, pytorch."
DevOps Engineer,Cognizant,Delhi,15 LPA - 30 LPA,"javascript, react, css","We are hiring a DevOps Engineer for our Cognizant team located in Delhi. Candidate must have experience in: javascript, react, css."
DevOps Engineer,Wipro,Remote,4 LPA - 6 LPA,"deep learning, pytorch","We are hiring a DevOps Engineer for our Wipro team located in Remote. Candidate must have experience in: deep learning, pytorch."
Data Analyst,Tech Mahindra,Bangalore,10 LPA - 20 LPA,"azure, devops","We are hiring a Data Analyst for our Tech Mahindra team located in Bangalore. Candidate must have experience in: azure, devops."
Software Engineer,Wipro,Bangalore,6 LPA - 10 LPA,"java, spring boot","We are hiring a Software Engineer for our Wipro team located in Bangalore. Candidate must have experience in: java, spring boot."
AI Engineer,Wipro,Mumbai,8 LPA - 14 LPA,"machine learning, tensorflow, numpy","We are hiring a AI Engineer for our Wipro team located in Mumbai. Candidate must have experience in: machine learning, tensorflow, numpy."
Cloud Architect,TCS,Hyderabad,8 LPA - 14 LPA,"python, sql, pandas","We are hiring a Cloud Architect for our TCS team located in Hyderabad. Candidate must have experience in: python, sql, pandas."
Python Developer,Cognizant,Delhi,15 LPA - 30 LPA,"javascript, react, css","We are hiring a Python Developer for our Cognizant team located in Delhi. Candidate must have experience in: javascript, react, css."
Software Engineer,Tech Mahindra,Bangalore,4 LPA - 6 LPA,"javascript, react, css","We are hiring a Software Engineer for our Tech Mahindra team located in Bangalore. Candidate must have experience in: javascript, react, css."
Cloud Architect,Wipro,Hyderabad,3 LPA - 5 LPA,"javascript, react, css","We are hiring a Cloud Architect for our Wipro team located in Hyderabad. Candidate must have experience in: javascript, react, css."
Frontend Developer,Infosys,Chennai,8 LPA - 14 LPA,"devops, ci/cd, linux","We are hiring a Frontend Developer for our Infosys team located in Chennai. Candidate must have experience in: devops, ci/cd, linux."
Frontend Developer,Capgemini,Remote,8 LPA - 14 LPA,"aws, docker, kubernetes","We are hiring a Frontend Developer for our Capgemini team located in Remote. Candidate must have experience in: aws, docker, kubernetes."
Cloud Architect,Tech Mahindra,Pune,6 LPA - 10 LPA,"data analysis, excel, tableau","We are hiring a Cloud Architect for our Tech Mahindra team located in Pune. Candidate must have experience in: data analysis, excel, tableau."
Full Stack Developer,Infosys,Remote,3 LPA - 5 LPA,"java, spring boot","We are hiring a Full Stack Developer for our Infosys team located in Remote. Candidate must have experience in: java, spring boot."
Cloud Architect,Capgemini,Hyderabad,8 LPA - 14 LPA,"data analysis, excel, tableau","We are hiring a Cloud Architect for our Capgemini team located in Hyderabad. Candidate must have experience in: data analysis, excel, tableau."
ML Engineer,Cognizant,Pune,8 LPA - 14 LPA,"azure, devops","We are hiring a ML Engineer for our Cognizant team located in Pune. Candidate must have experience in: azure, devops."
Data Analyst,Infosys,Mumbai,8 LPA - 14 LPA,"deep learning, pytorch","We are hiring a Data Analyst for our Infosys team located in Mumbai. Candidate must have experience in: deep learning, pytorch."
ML Engineer,Wipro,Pune,15 LPA - 30 LPA,"python, sql, pandas","We are hiring a ML Engineer for our Wipro team located in Pune. Candidate must have experience in: python, sql, pandas."
Full Stack Developer,Accenture,Mumbai,6 LPA - 10 LPA,"deep learning, pytorch","We are hiring a Full Stack Developer for our Accenture team located in Mumbai. Candidate must have experience in: deep learning, pytorch."
Frontend Developer,Infosys,Remote,3 LPA - 5 LPA,"aws, docker, kubernetes","We are hiring a Frontend Developer for our Infosys team located in Remote. Candidate must have experience in: aws, docker, kubernetes."
Cloud Architect,Microsoft,Mumbai,3 LPA - 5 LPA,"aws, docker, kubernetes","We are hiring a Cloud Architect for our Microsoft team located in Mumbai. Candidate must have experience in: aws, docker, kubernetes."
Full Stack Developer,Cognizant,Pune,15 LPA - 30 LPA,"azure, devops","We are hiring a Full Stack Developer for our Cognizant team located in Pune. Candidate must have experience in: azure, devops."
ML Engineer,TCS,Hyderabad,8 LPA - 14 LPA,"machine learning, tensorflow, numpy","We are hiring a ML Engineer for our TCS team located in Hyderabad. Candidate must have experience in: machine learning, tensorflow, numpy."
AI Engineer,Capgemini,Mumbai,6 LPA - 10 LPA,"python, sql, pandas","We are hiring a AI Engineer for our Capgemini team located in Mumbai. Candidate must have experience in: python, sql, pandas."
Python Developer,Tech Mahindra,Mumbai,3 LPA - 5 LPA,"python, sql, pandas","We are hiring a Python Developer for our Tech Mahindra team located in Mumbai. Candidate must have experience in: python, sql, pandas."
Software Engineer,Accenture,Chennai,10 LPA - 20 LPA,"azure, devops","We are hiring a Software Engineer for our Accenture team located in Chennai. Candidate must have experience in: azure, devops."
Full Stack Developer,Tech Mahindra,Remote,8 LPA - 14 LPA,"html, css, javascript","We are hiring a Full Stack Developer for our Tech Mahindra team located in Remote. Candidate must have experience in: html, css, javascript."
Python Developer,Accenture,Bangalore,8 LPA - 14 LPA,"deep learning, pytorch","We are hiring a Python Developer for our Accenture team located in Bangalore. Candidate must have experience in: deep learning, pytorch."
DevOps Engineer,Accenture,Chennai,6 LPA - 10 LPA,"deep learning, pytorch","We are hiring a DevOps Engineer for our Accenture team located in Chennai. Candidate must have experience in: deep learning, pytorch."
Software Engineer,Wipro,Remote,15 LPA - 30 LPA,"html, css, javascript","We are hiring a Software Engineer for our Wipro team located in Remote. Candidate must have experience in: html, css, javascript."
ML Engineer,Cognizant,Delhi,4 LPA - 6 LPA,"html, css, javascript","We are hiring a ML Engineer for our Cognizant team located in Delhi. Candidate must have experience in: html, css, javascript."
AI Engineer,Tech Mahindra,Mumbai,15 LPA - 30 LPA,"javascript, react, css","We are hiring a AI Engineer for our Tech Mahindra team located in Mumbai. Candidate must have experience in: javascript, react, css."
AI Engineer,TCS,Delhi,10 LPA - 20 LPA,"devops, ci/cd, linux","We are hiring a AI Engineer for our TCS team located in Delhi. Candidate must have experience in: devops, ci/cd, linux."
Cloud Architect,Accenture,Remote,10 LPA - 20 LPA,"aws, docker, kubernetes","We are hiring a Cloud Architect for our Accenture team located in Remote. Candidate must have experience in: aws, docker, kubernetes."
Full Stack Developer,Microsoft,Bangalore,8 LPA - 14 LPA,"aws, docker, kubernetes","We are hiring a Full Stack Developer for our Microsoft team located in Bangalore. Candidate must have experience in: aws, docker, kubernetes."
